MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Education,Target
3.9615,34,5.597285068,1.095022624,671,3.036199095,34.19,-118.56,A,1
4.0893,16,4.610465116,1.095930233,625,1.816860465,34.15,-118.34,A,1
7.4353,7,7.762408462,1.052888527,3926,3.194467046,37.67,-121.9,A,1
9.1974,23,8.075949367,0.965189873,916,2.898734177,37.21,-121.86,A,1
5.0111,16,6.157757497,1.075619296,4911,3.201434159,34.01,-117.83,A,1
3.1304,42,4.073717949,0.96474359,574,1.83974359,34,-118.47,C,1
3.0409,52,3.745299145,1.071794872,1100,1.88034188,37.77,-122.45,B,1
5.1512,28,6.267716535,1.146981627,1015,2.664041995,38.42,-122.89,A,1
3.2633,21,5.265270506,1.051483421,3795,3.311518325,32.61,-117.05,C,0
3.1786,35,5.29390681,0.946236559,852,3.053763441,32.7,-117.08,A,0
2.806,37,4.979423868,1.037037037,733,3.016460905,34.08,-118.07,A,1
6.9742,38,6.496183206,1.017811705,1042,2.651399491,33.8,-118.36,B,1
3.75,38,5.770731707,0.956097561,628,3.063414634,37.86,-122.53,B,1
2.5875,17,5.381188119,1.257425743,522,2.584158416,39.25,-123.36,A,0
2.3824,14,3.929667519,1.088235294,2000,2.557544757,32.75,-117.07,B,0
3.95,45,4.521008403,0.894957983,781,3.281512605,33.95,-118.35,A,0
2.3304,24,4.524390244,1.014634146,1520,3.707317073,36.35,-119.3,B,0
5.4449,16,6.504237288,1.008474576,768,3.254237288,35.34,-119.08,A,0
3.1453,23,5.48358209,0.991044776,1064,3.176119403,36.2,-119.31,B,0
3.2917,49,4.308641975,1.064814815,1301,2.007716049,33.77,-118.14,B,1
6.6478,21,7.030921053,1.013157895,4552,2.994736842,37.55,-121.95,C,1
2.5461,34,4.476489028,1.05015674,1272,3.987460815,37.96,-122.35,B,0
5.753,14,6.071022727,0.980113636,1151,3.269886364,34.03,-117.66,C,1
5.5138,7,6.949864499,1.111111111,2824,3.826558266,38.15,-122.22,C,0
3.332,16,5.815789474,1.099722992,2140,2.96398892,37.02,-119.57,C,0
1.7031,20,4.895985401,1.009124088,1497,2.731751825,36.07,-119.06,C,0
2.2094,20,2.165249089,1.088699878,1749,2.125151883,34.06,-118.3,C,0
6.0743,3,6.577235772,1.081300813,710,2.886178862,33.55,-117.69,A,1
5.4155,5,7.117942284,1.072772898,2592,3.252195734,33.01,-116.84,B,1
2.6495,27,5.363970588,1.066176471,1338,2.459558824,38,-121.3,A,0
5.1491,33,6.228843862,0.992848629,2221,2.647199046,32.81,-117.19,C,1
4.875,28,6.551391863,1.054603854,2631,2.816916488,38.63,-121.36,C,0
2.8333,32,3.836676218,0.957020057,817,2.340974212,34.09,-118.04,B,1
2.6094,30,3.874755382,1.080234834,2264,4.430528376,34.06,-118.09,B,0
2.5664,52,4.358536585,1.041463415,1107,2.7,34.16,-118.13,B,1
3.125,40,5.873267327,1.061386139,1225,2.425742574,38.53,-121.49,B,0
5.097,33,5.664179104,1.126865672,831,3.100746269,37.61,-122.03,A,1
3,50,4.169491525,1,698,1.971751412,32.75,-117.13,A,0
3.9038,21,3.586357039,0.982583454,1486,2.156748911,37.36,-122.02,A,1
6.5474,29,7.090909091,0.989304813,586,3.13368984,34.19,-118.86,A,1
2.2056,22,6.478787879,1.493939394,829,2.512121212,38.91,-120.02,B,0
2.5562,43,6.072463768,1.15942029,1056,3.826086957,36.65,-119.53,A,0
4.1289,13,4.57203842,1.112059765,2146,2.290288154,38.03,-122.44,C,0
7.3669,16,11.29310345,2.727969349,873,1.672413793,32.68,-117.17,B,1
2.4583,29,3.650684932,1.047945205,1143,2.609589041,34.19,-118.44,A,1
2.6087,21,5.193029491,1.042895442,1002,2.686327078,37.25,-121,A,0
2.4167,43,4.733333333,1.08,233,3.106666667,36.71,-119.83,C,0
3.2465,5,4.744376278,1.026584867,1245,2.54601227,39.11,-121.62,B,0
2.773,20,3.884140551,1.20702754,2824,2.681861349,34.2,-118.43,B,0
5.17,39,6.190804598,,1219,2.802298851,34.16,-118.52,B,1
4.0972,32,4.716981132,,663,3.127358491,38.01,-121.89,C,0
4.25,1,20.125,,402,3.589285714,37.65,-120.93,B,1
3.8462,52,6.281853282,,565,2.181467181,37.85,-122.25,B,1
3.8343,38,5.355223881,,810,2.417910448,37.94,-122.31,B,1
2.1458,22,5.287610619,,1131,2.502212389,40.71,-122.4,A,0
10.3661,52,8.033707865,,547,3.073033708,34.08,-118.34,B,1
5.9806,15,6.094594595,,673,2.273648649,32.94,-117.25,C,1
3.9583,52,8.169811321,,147,2.773584906,34.23,-118.12,B,0
3.5833,32,5.829479769,1.037572254,855,2.471098266,40.79,-124.13,A,0
4.5329,46,4.87254902,0.931372549,841,2.748366013,37.76,-122.5,B,1
10.0187,20,8.496376812,1.166666667,890,3.224637681,37.21,-121.95,A,1
3.4044,18,6.171232877,1.136986301,945,3.23630137,36.68,-119.41,A,0
5.4889,15,7.01010101,1.029292929,2829,2.857575758,38.66,-121.21,A,1
2.2612,36,2.515641855,1.071197411,3155,3.403451996,34.09,-118.3,B,1
2.0575,21,4.901353965,1.071566731,1297,2.508704062,35.41,-119.02,A,0
7.5443,9,6.723404255,0.995744681,1675,3.563829787,37.33,-121.77,A,1
1.7273,29,6.492647059,1.375,326,2.397058824,38.96,-122.64,C,0
4.3187,32,4.170854271,0.91959799,928,2.331658291,33.91,-118.35,B,1
2.6576,18,5.304545455,1.092424242,2009,3.043939394,35.94,-119.06,A,0
5.5335,21,6.113924051,1.088607595,417,2.639240506,33.88,-118.37,A,1
2.5938,45,5.555555556,0.984126984,187,2.968253968,37.55,-120.85,C,1
2.1471,33,4.313131313,1.186868687,645,3.257575758,33.99,-118.47,A,1
2.7685,29,3.658252427,1.175728155,2320,2.252427184,34.14,-118.27,C,1
4.4375,39,4.888111888,1.048951049,358,2.503496503,34.25,-118.27,C,1
3.1528,21,6.10483871,1.010752688,1145,3.077956989,36.13,-119.08,B,0
1.3071,51,2.647294589,1.102204409,781,1.565130261,32.72,-117.15,B,1
1.5208,10,3.526605505,1.058715596,1595,2.926605505,32.76,-117.09,B,0
5.0254,36,5.774193548,0.991935484,388,3.129032258,33.79,-118.34,A,1
2.5457,38,5.512323944,1.098591549,1591,2.801056338,39.05,-122.92,C,0
3.7462,15,4.900313972,0.999215071,3163,2.482731554,37.59,-122.05,A,1
4.6587,36,5.002232143,0.935267857,1743,3.890625,34.05,-117.92,B,0
10.2948,3,24.62582781,4.046357616,574,1.900662252,33.65,-116.26,C,1
3.3583,19,5.103773585,0.981132075,457,4.311320755,32.87,-115.49,A,0
1.5288,14,5.187285223,1.104810997,1639,2.816151203,34.41,-117.31,B,0
1.625,52,3.032085561,1.032085561,272,1.454545455,38.57,-121.48,A,1
4.4934,34,6.225388601,1.069948187,1385,3.588082902,33.86,-118.15,B,1
3.625,36,6.569060773,1.314917127,957,2.643646409,38.18,-122.8,A,1
2.5062,50,5.945945946,1.013513514,1148,7.756756757,38.66,-121.4,B,0
4.2619,17,4.59351145,1.028625954,1422,2.713740458,33.88,-118.07,B,0
3.75,29,5.31884058,1.123188406,1390,5.036231884,34.04,-117.98,A,1
5.0479,22,5.135877863,1.054961832,3783,2.88778626,37.63,-122.46,A,1
4.625,16,3.75,0.375,49,6.125,34.17,-117.27,A,1
2.7545,24,3.53133515,1.046321526,850,2.316076294,33.43,-117.62,A,1
9.7796,20,6.678082192,0.917808219,324,2.219178082,37.43,-122.21,C,1
1.2012,12,1.465753425,0.898630137,1194,3.271232877,34.05,-118.27,B,1
1.9851,17,5.4749499,1.220440882,1005,2.014028056,38.91,,B,0
3.4792,33,6.744394619,1.457399103,584,2.618834081,35.65,-118.87,B,0
4.4474,42,4.176829268,0.911585366,1018,3.103658537,33.83,-118.22,A,0
5.2888,32,5.951672862,0.998141264,1316,2.446096654,34.44,-119.67,C,1
2.9531,28,4.341753343,1.098068351,3013,4.476968796,33.91,-118.16,B,0
2.1875,43,3.829931973,0.982993197,1132,3.850340136,32.7,-117.14,C,0
3.3199,25,4.106854839,1.038306452,1435,2.893145161,33.87,-117.98,A,1
1.6429,52,4.751282051,1.120512821,764,1.958974359,36.76,-119.8,A,0
2.3664,20,3.685121107,1.131487889,1870,3.235294118,34.07,-118.13,A,1
2.0308,6,4.827556326,1.140381282,4048,3.50779896,34.1,-117.45,A,0
3.8833,36,4.865248227,1,1132,2.676122931,34.19,,C,1
3.4191,52,4.530612245,0.816326531,1107,11.29591837,39.73,,A,0
3.2368,8,4.602102102,1.039039039,1440,2.162162162,34.07,-117.22,A,0
3.3438,36,4.550684932,1.082191781,690,1.890410959,34.06,-118.37,A,1
11.6677,37,7.605633803,0.950704225,366,2.577464789,33.75,-118.32,B,1
4.3125,21,11.38,2.208,599,2.396,37.88,,B,1
3.1814,28,5.67781155,1.063829787,898,2.729483283,36.83,-119.69,B,0
3.0755,32,4.623067776,0.983353151,3868,4.599286564,32.77,-117.06,B,0
1.8958,39,5.014409222,1.011527378,1098,3.16426513,36.74,-119.75,A,0
3.4926,30,5.360230548,0.971181556,1123,3.236311239,36.44,-119.57,B,0
3.4202,34,4.885714286,1.06122449,942,3.844897959,34.08,-118.06,A,1
1.0685,46,3.632231405,1.055785124,1094,2.260330579,38.61,-121.45,A,0
2.6406,32,3.878661088,0.985355649,1363,2.851464435,33.87,-118.16,C,0
5.9202,9,6.115131579,1.009868421,947,3.115131579,32.76,,B,1
5.587,36,5.913946588,1.050445104,884,2.623145401,33.79,-118.11,C,1
9.1508,43,7.035128806,1.030444965,1088,2.548009368,37.44,-122.13,C,1
3.1654,25,5.267605634,0.929577465,564,2.647887324,38.6,-121.28,C,0
3.6953,26,3.909489051,1.024817518,3262,4.762043796,33.76,-117.9,C,0
7.2929,17,6.531120332,1.087136929,672,2.788381743,37.53,-122.51,C,1
2.9375,19,5.23628692,1.029535865,850,3.58649789,36.33,-119.67,C,0
5.2131,27,6.512077295,1.036714976,2723,2.630917874,37.71,-122.1,B,1
3.4375,34,5.293478261,1.083333333,,,,-121.96,A,1
5.2088,28,6.701357466,1.158371041,,,,-121.89,C,1
3.3661,45,4.897905759,0.971204188,,,,-118.19,C,0
1.375,25,3.857142857,0.951827243,,,,-115.49,B,0
5.3946,27,4.941176471,0.882352941,,,,-121.63,A,0
3.3929,28,5.673960613,1.065645514,,,,-121.24,B,0
2.57,52,4.202185792,1.12568306,,,,-122.23,A,0
2.7396,7,6.548076923,1.201923077,,,,-117.92,C,0
2.9735,34,4.301369863,1.032534247,1805,3.090753425,34.21,-118.47,B,1
1.5875,15,4.422740525,1.052478134,1275,3.717201166,36.42,-119.09,A,0
2.9063,52,6.590443686,1.122866894,1025,3.498293515,37.73,-122.39,C,1
5.0371,25,6.385656292,1.00811908,1857,2.51285521,38.5,-121.51,B,1
2.0278,46,5.18902439,1.134146341,1740,3.536585366,34.17,-118.15,A,0
2.2,25,4.503164557,1.018987342,2272,3.594936709,32.74,-117.11,A,0
10.6514,33,6.981132075,0.79245283,153,2.886792453,37.39,-122.25,A,1
2.6205,27,5.371482176,1.333958724,930,1.744840525,35.35,-120.84,B,1
4.6563,16,6.093457944,0.936448598,1973,3.687850467,34.04,-117.67,C,0
3.3125,42,3.938697318,1.0651341,1369,5.245210728,33.94,-118.35,C,0
3.1771,52,4.827906977,1.023255814,482,2.241860465,37.77,-122.25,C,1
3.7875,28,5.599415205,1.225146199,930,2.719298246,38.31,-122.67,B,1
2.3229,16,5.205357143,1.044642857,2372,3.529761905,33.85,-117.28,A,0
1.745,39,5.448071217,1.044510386,883,2.620178042,40.79,-124.18,B,0
1.6645,20,5.671814672,1.16988417,1031,3.980694981,36.35,-119.42,C,0
4.0365,18,5.974248927,1.001430615,2164,3.095851216,38.21,-121.15,B,0
2.6055,36,4.974842767,0.98427673,761,2.393081761,36.78,-119.82,B,0
4.2917,17,5.482014388,0.992805755,322,2.316546763,40.2,-122.23,B,0
13.3036,50,7.660766962,1.002949853,964,2.843657817,34.04,,C,1
3.0122,16,4.798133022,1.026837806,2821,3.291715286,33.93,-117.46,B,0
2.3804,37,6.238970588,1.227941176,740,2.720588235,34.64,-120.46,B,0
4,38,5.165853659,1.063414634,561,2.736585366,33.86,-118.33,A,1
1.7464,35,3.218,1.108,1675,1.675,37.87,-122.27,A,1
1.7083,29,2.898637138,1.16439523,3432,2.923339012,34.1,-118.3,C,0
5.0865,36,6.086330935,0.946043165,778,2.798561151,34.2,-118.31,A,1
1.9013,36,4.232905983,1.083333333,1998,4.269230769,37.64,-121.01,C,0
5.7239,26,6.401433692,1.096774194,771,2.76344086,37.61,-121.62,B,1
2.7813,33,4.799331104,1.076923077,1298,4.341137124,33.9,-118.2,C,0
2.4398,22,5.50310559,1.074534161,595,3.695652174,37.09,-120.65,B,0
2.0333,12,5.180952381,1.2,1303,4.136507937,36.2,-119.34,B,0
2.375,37,4.144067797,1.248587571,651,1.838983051,32.79,-117.25,C,1
2.6292,32,4.581005587,1.092178771,1312,3.664804469,34.13,-117.9,B,0
1.6098,52,5.021459227,1.008583691,701,3.008583691,37.82,,A,0
3.75,12,5.169789227,1.042154567,1532,1.793911007,33.93,-117.92,A,0
15.0001,48,8.84516129,1.058064516,528,3.406451613,34.19,-118.18,A,1
3.7337,17,4.770175439,1.033333333,1386,2.431578947,35.27,-120.66,C,1
5.308,33,5.712250712,1.116809117,1043,2.971509972,34.44,-119.15,B,1
5.1457,35,6.958333333,1.217592593,576,2.666666667,34.14,-118.9,B,1
2.3944,48,3.72909699,0.991638796,2419,4.045150502,34.02,-118.2,B,0
2.881,26,8.933209647,1.688311688,1341,2.487940631,40.34,-121.8,B,0
3.7262,20,5,1.035190616,856,2.51026393,37.97,-122.07,A,1
3.2472,35,4.320754717,1.062264151,1374,2.59245283,33.79,-118.31,C,1
2.6217,36,3.792091837,1.029336735,2846,3.630102041,34.16,-118.14,C,0
5.1047,9,6.528042328,1.014814815,3378,3.574603175,37.82,-121.24,C,0
4.7375,45,5.266149871,1.018087855,1086,2.80620155,33.94,-118.41,B,1
3.1815,19,4.677839851,0.947858473,1856,3.456238361,36.93,-121.79,C,1
5.1463,35,6.257028112,1.072289157,793,3.184738956,34.2,-118.58,C,1
3.4265,43,6.242666667,1.053333333,890,2.373333333,36.77,-119.81,B,0
3.7092,17,5.141287284,0.940345369,2422,3.802197802,34.4,-118.93,B,1
2.7011,8,4.291989664,1.04005168,1694,2.188630491,38.66,-121.35,A,0
6.5138,16,8.127098321,1.021582734,5669,3.398681055,34.15,-117.62,A,1
5.8151,52,6.853448276,1.017241379,622,2.681034483,37.75,-122.46,A,1
3.8819,44,4.395348837,1.081395349,1378,3.204651163,33.85,-118.18,A,0
4.7019,35,4.991769547,0.909465021,790,3.251028807,37.63,,C,0
5.5677,4,5.921914358,1.120906801,834,2.100755668,33.5,-117.7,C,1
1.375,49,5.030395137,1.112462006,754,2.291793313,37.83,-122.27,C,0
5.8632,52,6.956228956,1.074074074,981,3.303030303,34.07,-118.34,C,1
2.0347,20,6.64,1.516,637,2.548,33.49,-115.84,C,0
4.601,34,6.320328542,0.979466119,1226,2.517453799,37.51,-120.83,A,0
3.7672,19,5.215170279,1.041795666,1834,2.839009288,35.5,-120.68,A,0
3.48,52,4.757281553,1.067961165,689,2.229773463,37.83,-122.26,C,1
3.5562,32,5.052777778,1.072222222,1679,4.663888889,33.89,-118.07,C,0
1.0513,35,2.951557093,1.024221453,1228,4.249134948,36.74,-119.79,A,0
2.2401,24,4.873345936,1.096408318,1217,2.300567108,33.83,-118,C,1
2.0699,24,3.137648131,1.064721969,4625,4.216043756,34.22,-118.45,A,1
1.6699,42,3.6096823,1.013615734,2327,3.520423601,34.02,-118.3,A,0
2.3194,20,5.778145695,1.152317881,1093,3.619205298,36.77,-120.21,C,0
2.1774,40,3.887537994,0.960486322,1438,4.370820669,34.04,-118.19,A,0
3.575,52,4.843505477,1.067292645,1269,1.985915493,37.77,-122.45,C,1
5.2699,8,7.386811024,1.071850394,3325,3.272637795,37.98,,B,1
3.0263,29,3.948207171,1.001992032,1426,2.84063745,33.76,-118,A,1
2.4107,21,6.568627451,1.176470588,947,3.094771242,41.69,-122.56,B,0
6.0809,21,6.474167623,1.026406429,2670,3.065442021,37.08,-122.07,B,1
3.1635,34,5.767650834,1.075738126,2335,2.997432606,34.52,-117.3,A,0
3.2369,17,4.46567718,1.012059369,3013,2.794990724,32.95,-117.05,A,0
3.4196,43,5.023404255,1.040425532,824,1.753191489,32.76,-117.15,A,1
4.955,4,5.390459364,1.098939929,3775,2.223203769,33,-117.07,A,1
4.7695,23,4.93397046,1.103388358,2690,2.337098175,37.77,-122.27,B,1
1.9766,27,3.685279188,1.0642978,2379,4.025380711,34.06,-117.77,B,0
2.1522,39,3.78130217,1.048414023,2323,3.878130217,33.96,-118.21,C,0
7.3841,40,6.698412698,1,158,2.507936508,37.65,-120.98,C,0
2.875,43,4.779467681,1.182509506,671,2.551330798,34.43,-119.69,C,1
5.8691,21,6.232142857,1.142857143,149,2.660714286,37.28,-122.12,A,1
6.9133,8,5.976470588,1.026470588,862,2.535294118,33.68,-117.8,B,1
1.6875,41,5.570063694,1.089171975,1171,3.729299363,36.59,-119.45,C,0
6.2475,12,7.421319797,1.098984772,1193,3.027918782,33.31,-117.22,C,1
1.55,46,4.553892216,1.053892216,1100,3.293413174,33.97,-118.26,C,0
3.6771,24,4.538461538,1.115384615,3003,2.961538462,33.81,-117.94,B,0
5.7295,35,5.645045045,0.974774775,1449,2.610810811,37.28,-122,B,1
3.7857,16,6.377358491,1.091981132,1322,3.117924528,33.4,-117.24,A,1
5.635,27,6.802721088,1.054421769,880,2.993197279,33.77,-118.03,C,1
4.605,16,7.002212389,1.066371681,1351,2.988938053,33.36,-117.22,B,1
4.95,24,6.223642173,0.990415335,922,2.945686901,38.24,-122.65,B,1
3.4485,27,4.888482633,1.032906764,1233,2.254113346,37.89,-122.51,C,1
6.8189,29,7.711388456,1.051482059,1913,2.984399376,33.95,-117.95,C,1
4.119,32,4.651234568,0.910493827,1326,4.092592593,34.04,-117.97,B,0
4.25,28,5.653295129,0.982808023,970,2.779369628,36.47,-121.74,A,1
2.0221,33,5.64628821,1.187772926,694,3.030567686,36.19,-119.82,C,0
3.9038,35,4.535830619,1.07980456,1631,2.656351792,34.18,-118.41,C,1
1.7958,17,4.146449704,1.01035503,2768,4.094674556,32.56,-117.06,B,0
2.8913,23,5.038674033,0.977900552,1146,3.165745856,36.43,-119.85,B,0
4.375,35,4.86453202,0.945812808,882,2.172413793,34.18,-118.41,C,1
3.5083,43,5.084558824,1.011029412,853,3.136029412,37.74,-122.15,B,0
4.0208,28,5.986666667,1.071111111,713,3.168888889,37.84,-121.23,C,0
1.9832,26,4.928143713,1.061876248,1068,2.131736527,34.16,-117.28,B,0
4.1528,35,4.997167139,0.920679887,1094,3.099150142,33.94,-117.42,B,0
5.3889,33,6.078880407,1.043256997,1229,3.127226463,33.86,-118.11,C,1
2.1667,11,5.528571429,1.119047619,640,3.047619048,33.72,-117.28,C,0
3.6523,28,5.551546392,1.06185567,2086,2.68814433,38.02,-122.1,B,0
4.1661,31,5.296570899,1.069508804,2639,2.445783133,34.11,-118.16,A,1
4.3667,50,4.881782946,1.040697674,1117,2.164728682,34.07,-118.37,B,1
3.7708,42,5.148734177,1.063291139,848,2.683544304,37.95,-122.33,C,0
3.1625,28,4.319047619,1.252380952,849,2.021428571,34.38,-119.67,A,1
1.6652,48,4.767379679,1.06684492,938,2.50802139,39.15,-121.59,A,0
5.6051,15,4.815195072,1.028747433,1879,1.929158111,33.76,-118.1,C,1
3.0536,36,4.961424332,0.896142433,969,2.87537092,38.54,-121.54,B,0
1.3578,40,4.524096386,1.108433735,409,2.463855422,37.85,-122.27,B,0
2.4167,26,5,1.00623053,1908,2.971962617,36.07,-119.03,C,0
2.7401,24,4.088161209,1.050377834,911,2.294710327,32.82,,C,1
2.9554,17,4.643020595,0.924485126,1190,2.723112128,34.08,-117.37,B,0
1.5625,36,4.157534247,1.061643836,483,3.308219178,36.74,,A,0
2.3387,25,4.603975535,1.091743119,893,1.365443425,33.6,-117.71,A,0
3.0208,12,6.1,1.211111111,209,2.322222222,33.94,-116.71,A,0
2.07,52,4.205387205,1.033670034,1223,4.117845118,34.04,-118.2,B,0
4.99,50,5.92970123,1.050966608,1484,2.608084359,34.17,-118.11,B,1
2.5603,32,3.517821782,1.04950495,3129,3.098019802,34.18,-118.38,C,0
4.6042,31,5.539823009,0.995575221,714,3.159292035,33.84,-117.98,A,1
4.125,27,4.831460674,1.037921348,1827,2.566011236,34.19,-118.43,A,1
5.1377,45,4.738636364,1.011363636,187,2.125,34.14,-118.4,B,1
4.1325,32,5.439618644,1.085805085,2152,2.279661017,32.64,-117.07,A,0
3.2011,48,4.941463415,0.946341463,464,2.263414634,37.78,-122.45,B,1
2.4667,33,4.43254818,1.004282655,1851,3.96359743,33.98,-117.36,B,0
2.1875,28,1.972906404,0.982758621,936,2.305418719,34.05,-118.45,C,1
5.4663,36,5.396475771,0.938325991,591,2.603524229,33.99,-118.4,A,1
2.5625,52,6.268817204,1.225806452,310,3.333333333,37.96,-121.27,C,0
3.3214,25,6.093862816,1.090252708,879,3.173285199,36.38,-119.69,B,0
5.7704,17,5.744974874,1.177135678,1619,2.033919598,33.72,-118.06,B,1
4.1514,10,5.470643939,1.053030303,2917,2.762310606,34.32,-118.46,C,1
3.0086,27,5.254424779,1.188053097,863,1.909292035,38.61,-121.38,C,0
3.3565,26,4.169491525,1.059725585,2738,2.209846651,33.82,-118.36,C,1
4.5417,45,6.395017794,1.078291815,870,3.096085409,37.19,-121.8,A,1
4.0071,37,5.063339731,1.047984645,1789,3.43378119,37.72,-122.42,A,1
4.3264,10,5.165289256,1.008264463,1055,2.906336088,34.05,-117.69,B,0
3.7857,19,20.2,4.05,187,2.3375,36.79,-118.91,A,0
3.2241,28,4.188376754,1.139612558,2549,1.702738811,34.15,-118.43,A,1
3.5114,41,4.401273885,1.124203822,704,2.242038217,37.68,-122.09,B,1
1.8977,35,5.245901639,1.18852459,1723,2.824590164,32.67,-117.07,C,0
2.1767,13,4.050724638,1.120289855,1869,2.708695652,32.75,-117.12,B,0
2.9444,52,3.484848485,0.765151515,525,1.988636364,36.97,-122.01,A,1
3.0125,37,6.081481481,1.111111111,404,2.992592593,32.74,-117.03,C,0
5.2722,17,5.532423208,1.020477816,1028,3.508532423,37.44,-121.88,A,1
3.8654,27,5.500881834,1.119929453,1887,3.328042328,33.88,-118.09,B,1
1.9038,39,3.77734375,1,903,3.52734375,33.91,-118.26,B,0
2.8421,25,3.747292419,1.057761733,1060,1.913357401,32.81,-117.26,B,1
1.0938,20,1.130434783,1.043478261,120,1.739130435,37.37,-121.9,B,1
2.6951,44,3.908961593,1.017069701,2962,4.213371266,33.97,-118.23,B,0
2.4148,27,3.914209115,1.032171582,1935,2.59383378,32.63,-117.09,A,0
4.4886,21,6.451193059,1.073752711,1313,2.848156182,37.5,-120.82,B,0
2.0675,25,3.146799117,1.068432671,3744,4.132450331,33.79,-118.2,C,0
5.7601,27,7.044444444,0.99047619,937,2.974603175,34.28,-119.21,B,1
8.7288,6,8.715841584,1.102970297,3385,3.351485149,34.23,-118.83,C,1
3.9345,41,5.663194444,0.979166667,752,2.611111111,38.03,-122.26,C,0
1.8715,34,2.942115768,1.01996008,1962,3.916167665,34.02,-118.16,A,0
